"id","country_id:id","code","name"
"state_ru_01","base.ru","01","Республика Адыгея (Адыгея)"
"state_ru_02","base.ru","02","Республика Башкортостан"
"state_ru_03","base.ru","03","Республика Бурятия"
"state_ru_04","base.ru","04","Республика Алтай"
"state_ru_05","base.ru","05","Республика Дагестан"
"state_ru_06","base.ru","06","Республика Ингушетия"
"state_ru_07","base.ru","07","Кабардино-Балкарская Республика"
"state_ru_08","base.ru","08","Республика Калмыкия"
"state_ru_09","base.ru","09","Карачаево-Черкесская Республика"
"state_ru_10","base.ru","10","Республика Карелия"
"state_ru_11","base.ru","11","Республика Коми"
"state_ru_12","base.ru","12","Республика Марий Эл"
"state_ru_13","base.ru","13","Республика Мордовия"
"state_ru_14","base.ru","14","Республика Саха (Якутия)"
"state_ru_15","base.ru","15","Республика Северная Осетия — Алания"
"state_ru_16","base.ru","16","Республика Татарстан (Татарстан)"
"state_ru_17","base.ru","17","Республика Тыва"
"state_ru_18","base.ru","18","Удмуртская Республика"
"state_ru_19","base.ru","19","Республика Хакасия"
"state_ru_20","base.ru","20","Чеченская Республика"
"state_ru_21","base.ru","21","Чувашская Республика — Чувашия"
"state_ru_22","base.ru","22","Алтайский край"
"state_ru_23","base.ru","23","Краснодарский край"
"state_ru_24","base.ru","24","Красноярский край"
"state_ru_25","base.ru","25","Приморский край"
"state_ru_26","base.ru","26","Ставропольский край"
"state_ru_27","base.ru","27","Хабаровский край"
"state_ru_28","base.ru","28","Амурская"
"state_ru_29","base.ru","29","обл. Архангельская"
"state_ru_30","base.ru","30","обл. Астраханская"
"state_ru_31","base.ru","31","обл. Белгородская"
"state_ru_32","base.ru","32","обл. Брянская"
"state_ru_33","base.ru","33","обл. Владимирская"
"state_ru_34","base.ru","34","обл. Волгоградская"
"state_ru_35","base.ru","35","обл. Вологодская"
"state_ru_36","base.ru","36","обл. Воронежская"
"state_ru_37","base.ru","37","обл. Ивановская"
"state_ru_38","base.ru","38","обл. Иркутская"
"state_ru_39","base.ru","39","обл. Калининградская"
"state_ru_40","base.ru","40","обл. Калужская"
"state_ru_41","base.ru","41","обл. Камчатский край"
"state_ru_42","base.ru","42","обл. Кемеровская"
"state_ru_43","base.ru","43","обл. Кировская"
"state_ru_44","base.ru","44","обл. Костромская"
"state_ru_45","base.ru","45","обл. Курганская"
"state_ru_46","base.ru","46","обл. Курская"
"state_ru_47","base.ru","47","обл. Ленинградская"
"state_ru_48","base.ru","48","обл. Липецкая"
"state_ru_49","base.ru","49","обл. Магаданская"
"state_ru_50","base.ru","50","обл. Московская"
"state_ru_51","base.ru","51","обл. Мурманская"
"state_ru_52","base.ru","52","обл. Нижегородская"
"state_ru_53","base.ru","53","обл. Новгородская"
"state_ru_54","base.ru","54","обл. Новосибирская"
"state_ru_55","base.ru","55","обл. Омская"
"state_ru_56","base.ru","56","обл. Оренбургская"
"state_ru_57","base.ru","57","обл. Орловская"
"state_ru_58","base.ru","58","обл. Пензенская"
"state_ru_59","base.ru","59","обл. Пермский край"
"state_ru_60","base.ru","60","обл. Псковская"
"state_ru_61","base.ru","61","обл. Ростовская"
"state_ru_62","base.ru","62","обл. Рязанская"
"state_ru_63","base.ru","63","обл. Самарская"
"state_ru_64","base.ru","64","обл. Саратовская"
"state_ru_65","base.ru","65","обл. Сахалинская"
"state_ru_66","base.ru","66","обл. Свердловская"
"state_ru_67","base.ru","67","обл. Смоленская"
"state_ru_68","base.ru","68","обл. Тамбовская"
"state_ru_69","base.ru","69","обл. Тверская"
"state_ru_70","base.ru","70","обл. Томская"
"state_ru_71","base.ru","71","обл. Тульская"
"state_ru_72","base.ru","72","обл. Тюменская"
"state_ru_73","base.ru","73","обл. Ульяновская"
"state_ru_74","base.ru","74","обл. Челябинская"
"state_ru_75","base.ru","75","обл. Забайкальский край"
"state_ru_76","base.ru","76","обл. Ярославская"
"state_ru_77","base.ru","77","Город Москва"
"state_ru_78","base.ru","78","Санкт-Петербург"
"state_ru_79","base.ru","79","обл. Еврейская автономная"
"state_ru_83","base.ru","83","Ненецкий автономный округ"
"state_ru_86","base.ru","86","Ханты-Мансийский автономный округ — Югра"
"state_ru_87","base.ru","87","Чукотский автономный округ"
"state_ru_89","base.ru","89","Ямало-Ненецкий автономный округ"
"state_ru_99","base.ru","99","Байконур"
